"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"58150520","dukboki or tteokbokki, korean",NA,"rice mixed dishes","cup","250"
"58150520","dukboki or tteokbokki, korean",NA,"rice mixed dishes","quantity not specified","187"
"58150530","adobo, with rice",NA,"poultry mixed dishes","cup","244"
"58150530","adobo, with rice",NA,"poultry mixed dishes","quantity not specified","244"
"58151100","sushi, nfs",NA,"egg rolls, dumplings, sushi","piece","30"
"58151100","sushi, nfs",NA,"egg rolls, dumplings, sushi","cup","150"
"58151100","sushi, nfs",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151170","sushi roll, avocado",NA,"egg rolls, dumplings, sushi","piece","30"
"58151170","sushi roll, avocado",NA,"egg rolls, dumplings, sushi","cup","150"
"58151170","sushi roll, avocado",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151180","sushi roll, california",NA,"egg rolls, dumplings, sushi","piece","30"
"58151180","sushi roll, california",NA,"egg rolls, dumplings, sushi","cup","150"
"58151180","sushi roll, california",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151190","sushi roll, eel",NA,"egg rolls, dumplings, sushi","piece","30"
"58151190","sushi roll, eel",NA,"egg rolls, dumplings, sushi","cup","150"
"58151190","sushi roll, eel",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151200","sushi roll, salmon",NA,"egg rolls, dumplings, sushi","piece","30"
"58151200","sushi roll, salmon",NA,"egg rolls, dumplings, sushi","cup","150"
"58151200","sushi roll, salmon",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151210","sushi roll, shrimp",NA,"egg rolls, dumplings, sushi","piece","30"
"58151210","sushi roll, shrimp",NA,"egg rolls, dumplings, sushi","cup","150"
"58151210","sushi roll, shrimp",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151220","sushi roll tuna",NA,"egg rolls, dumplings, sushi","piece","30"
"58151220","sushi roll tuna",NA,"egg rolls, dumplings, sushi","cup","150"
"58151220","sushi roll tuna",NA,"egg rolls, dumplings, sushi","quantity not specified","180"
"58151230","sushi roll, vegetable",NA,"egg rolls, dumplings, sushi","piece","22"
"58151230","sushi roll, vegetable",NA,"egg rolls, dumplings, sushi","cup","132"
"58151230","sushi roll, vegetable",NA,"egg rolls, dumplings, sushi","quantity not specified","132"
"58151400","sushi, topped with crab",NA,"egg rolls, dumplings, sushi","piece","35"
"58151400","sushi, topped with crab",NA,"egg rolls, dumplings, sushi","cup","140"
"58151400","sushi, topped with crab",NA,"egg rolls, dumplings, sushi","quantity not specified","210"
"58151410","sushi, topped with eel",NA,"egg rolls, dumplings, sushi","piece","35"
"58151410","sushi, topped with eel",NA,"egg rolls, dumplings, sushi","cup","140"
"58151410","sushi, topped with eel",NA,"egg rolls, dumplings, sushi","quantity not specified","210"
"58151420","sushi, topped with salmon",NA,"egg rolls, dumplings, sushi","piece","35"
"58151420","sushi, topped with salmon",NA,"egg rolls, dumplings, sushi","cup","140"
"58151420","sushi, topped with salmon",NA,"egg rolls, dumplings, sushi","quantity not specified","210"
"58151430","sushi, topped with shrimp",NA,"egg rolls, dumplings, sushi","piece","35"
"58151430","sushi, topped with shrimp",NA,"egg rolls, dumplings, sushi","cup","140"
"58151430","sushi, topped with shrimp",NA,"egg rolls, dumplings, sushi","quantity not specified","210"
"58151440","sushi, topped with tuna",NA,"egg rolls, dumplings, sushi","piece","35"
"58151440","sushi, topped with tuna",NA,"egg rolls, dumplings, sushi","cup","140"
"58151440","sushi, topped with tuna",NA,"egg rolls, dumplings, sushi","quantity not specified","210"
"58151450","sushi, topped with egg",NA,"egg rolls, dumplings, sushi","piece","50"
"58151450","sushi, topped with egg",NA,"egg rolls, dumplings, sushi","cup","150"
"58151450","sushi, topped with egg",NA,"egg rolls, dumplings, sushi","quantity not specified","200"
"58155110","rice with chicken, puerto rican style",NA,"rice mixed dishes","cup, with bone (yield after bone removed)","157"
"58155110","rice with chicken, puerto rican style",NA,"rice mixed dishes","cup, boneless","163"
"58155110","rice with chicken, puerto rican style",NA,"rice mixed dishes","quantity not specified","122"
"58155110","rice with chicken, puerto rican style",NA,"rice mixed dishes","cup, nfs","163"
"58155310","paella with meat, valenciana style",NA,"rice mixed dishes","cup, with bone (yield after bone removed)","137"
"58155310","paella with meat, valenciana style",NA,"rice mixed dishes","cup, boneless","183"
"58155310","paella with meat, valenciana style",NA,"rice mixed dishes","quantity not specified","229"
"58155310","paella with meat, valenciana style",NA,"rice mixed dishes","cup, nfs","183"
"58155320","seafood paella, puerto rican style",NA,"rice mixed dishes","cup","230"
"58155320","seafood paella, puerto rican style",NA,"rice mixed dishes","quantity not specified","288"
"58155410","soupy rice with chicken, puerto rican style",NA,"soups","cup, with bone (yield after bone removed)","215"
"58155410","soupy rice with chicken, puerto rican style",NA,"soups","cup, boneless","263"
"58155410","soupy rice with chicken, puerto rican style",NA,"soups","quantity not specified","329"
"58155410","soupy rice with chicken, puerto rican style",NA,"soups","cup, nfs","263"
"58155510","soupy rice mixture with chicken and potatoes, puerto rican style",NA,"soups","cup","240"
"58155510","soupy rice mixture with chicken and potatoes, puerto rican style",NA,"soups","quantity not specified","300"
"58155610","rice meal fritter, puerto rican style",NA,"rice mixed dishes","cruller (3"" x 2"" x 1/2"")","30"
"58155610","rice meal fritter, puerto rican style",NA,"rice mixed dishes","quantity not specified","30"
"58155810","stewed rice, puerto rican style",NA,"rice mixed dishes","cup","170"
"58155810","stewed rice, puerto rican style",NA,"rice mixed dishes","quantity not specified","127"
"58155910","rice with squid, puerto rican style",NA,"rice mixed dishes","cup","160"
"58155910","rice with squid, puerto rican style",NA,"rice mixed dishes","quantity not specified","120"
"58156110","fried rice, puerto rican style",NA,"rice mixed dishes","cup","173"
"58156110","fried rice, puerto rican style",NA,"rice mixed dishes","quantity not specified","130"
"58156210","rice with vienna sausage, puerto rican style",NA,"rice mixed dishes","cup","180"
"58156210","rice with vienna sausage, puerto rican style",NA,"rice mixed dishes","quantity not specified","112"
"58156310","rice with spanish sausage, puerto rican style",NA,"rice mixed dishes","cup","180"
"58156310","rice with spanish sausage, puerto rican style",NA,"rice mixed dishes","quantity not specified","112"
"58156410","rice with onions, puerto rican style",NA,"rice mixed dishes","cup","165"
"58156410","rice with onions, puerto rican style",NA,"rice mixed dishes","quantity not specified","124"
"58156710","rice with stewed beans, puerto rican style",NA,"rice mixed dishes","cup","188"
"58156710","rice with stewed beans, puerto rican style",NA,"rice mixed dishes","quantity not specified","141"
"58157300","congee, with meat, poultry, and/or seafood",NA,"rice mixed dishes","cup","249"
"58157300","congee, with meat, poultry, and/or seafood",NA,"rice mixed dishes","quantity not specified","187"
"58157310","congee, with meat, poultry, and/or seafood, and vegetables",NA,"rice mixed dishes","cup","249"
"58157310","congee, with meat, poultry, and/or seafood, and vegetables",NA,"rice mixed dishes","quantity not specified","187"
"58157320","congee, with vegetables",NA,"rice mixed dishes","cup","249"
"58157320","congee, with vegetables",NA,"rice mixed dishes","quantity not specified","187"
"58160000","biryani with vegetables",NA,"rice mixed dishes","cup","172"
"58160000","biryani with vegetables",NA,"rice mixed dishes","quantity not specified","215"
"58160100","beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","cup","170"
"58160100","beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160102","kidney beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","cup","170"
"58160102","kidney beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160104","black beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","cup","170"
"58160104","black beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160106","pinto beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","cup","170"
"58160106","pinto beans and rice, from fast food / restaurant",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160110","beans and white rice",NA,"bean, pea, legume dishes","cup","170"
"58160110","beans and white rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160120","beans and rice, with tomatoes",NA,"bean, pea, legume dishes","cup","170"
"58160120","beans and rice, with tomatoes",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160132","beans and rice, with meat",NA,"bean, pea, legume dishes","cup","170"
"58160132","beans and rice, with meat",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160150","kidney beans and white rice",NA,"bean, pea, legume dishes","cup","170"
"58160150","kidney beans and white rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160154","black beans and white rice",NA,"bean, pea, legume dishes","cup","170"
"58160154","black beans and white rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160156","pinto beans and white rice",NA,"bean, pea, legume dishes","cup","170"
"58160156","pinto beans and white rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58160400","rice, white, with corn, ns as to fat",NA,"rice mixed dishes","cup","161"
"58160400","rice, white, with corn, ns as to fat",NA,"rice mixed dishes","quantity not specified","121"
"58160410","rice, white, with corn, no added fat",NA,"rice mixed dishes","cup","161"
"58160410","rice, white, with corn, no added fat",NA,"rice mixed dishes","quantity not specified","121"
"58160420","rice, white, with corn, fat added",NA,"rice mixed dishes","cup","161"
"58160420","rice, white, with corn, fat added",NA,"rice mixed dishes","quantity not specified","121"
"58160430","rice, white, with peas, ns as to fat",NA,"rice mixed dishes","cup","160"
"58160430","rice, white, with peas, ns as to fat",NA,"rice mixed dishes","quantity not specified","120"
"58160440","rice, white, with peas, no added fat",NA,"rice mixed dishes","cup","160"
"58160440","rice, white, with peas, no added fat",NA,"rice mixed dishes","quantity not specified","120"
"58160450","rice, white, with peas, fat added",NA,"rice mixed dishes","cup","160"
"58160450","rice, white, with peas, fat added",NA,"rice mixed dishes","quantity not specified","120"
"58160460","rice, white, with carrots, ns as to fat",NA,"rice mixed dishes","cup","160"
"58160460","rice, white, with carrots, ns as to fat",NA,"rice mixed dishes","quantity not specified","120"
"58160470","rice, white, with carrots, no added fat",NA,"rice mixed dishes","cup","160"
"58160470","rice, white, with carrots, no added fat",NA,"rice mixed dishes","quantity not specified","120"
"58160480","rice, white, with carrots, fat added",NA,"rice mixed dishes","cup","160"
"58160480","rice, white, with carrots, fat added",NA,"rice mixed dishes","quantity not specified","120"
"58160490","rice, white, with peas and carrots, ns as to fat",NA,"rice mixed dishes","cup","160"
"58160490","rice, white, with peas and carrots, ns as to fat",NA,"rice mixed dishes","quantity not specified","120"
"58160500","rice, white, with peas and carrots, no added fat",NA,"rice mixed dishes","cup","160"
"58160500","rice, white, with peas and carrots, no added fat",NA,"rice mixed dishes","quantity not specified","120"
"58160510","rice, white, with peas and carrots, fat added",NA,"rice mixed dishes","cup","160"
"58160510","rice, white, with peas and carrots, fat added",NA,"rice mixed dishes","quantity not specified","120"
"58160520","rice, white, with tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","209"
"58160520","rice, white, with tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","157"
"58160530","rice, white, with tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","206"
"58160530","rice, white, with tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","154"
"58160540","rice, white, with tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","209"
"58160540","rice, white, with tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","157"
"58160550","rice, white, with dark green vegetables, ns as to fat",NA,"rice mixed dishes","cup","172"
"58160550","rice, white, with dark green vegetables, ns as to fat",NA,"rice mixed dishes","quantity not specified","129"
"58160560","rice, white, with dark green vegetables, no added fat",NA,"rice mixed dishes","cup","172"
"58160560","rice, white, with dark green vegetables, no added fat",NA,"rice mixed dishes","quantity not specified","129"
"58160570","rice, white, with dark green vegetables, fat added",NA,"rice mixed dishes","cup","172"
"58160570","rice, white, with dark green vegetables, fat added",NA,"rice mixed dishes","quantity not specified","129"
"58160580","rice, white, with carrots and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","172"
"58160580","rice, white, with carrots and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","129"
"58160590","rice, white, with carrots and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","172"
"58160590","rice, white, with carrots and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","129"
"58160600","rice, white, with carrots and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","172"
"58160600","rice, white, with carrots and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","129"
"58160610","rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","172"
"58160610","rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","129"
"58160620","rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","172"
"58160620","rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","129"
"58160630","rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","172"
"58160630","rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","129"
"58160640","rice, white, with carrots and dark green vegetables, ns as to fat",NA,"rice mixed dishes","cup","172"
"58160640","rice, white, with carrots and dark green vegetables, ns as to fat",NA,"rice mixed dishes","quantity not specified","129"
"58160650","rice, white, with carrots and dark green vegetables, no added fat",NA,"rice mixed dishes","cup","172"
"58160650","rice, white, with carrots and dark green vegetables, no added fat",NA,"rice mixed dishes","quantity not specified","129"
"58160660","rice, white, with carrots and dark green vegetables, fat added",NA,"rice mixed dishes","cup","172"
"58160660","rice, white, with carrots and dark green vegetables, fat added",NA,"rice mixed dishes","quantity not specified","129"
"58160670","rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","172"
"58160670","rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","129"
"58160680","rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","172"
"58160680","rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","129"
"58160690","rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","172"
"58160690","rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","129"
"58160700","rice, white, with other vegetables, ns as to fat",NA,"rice mixed dishes","cup","172"
"58160700","rice, white, with other vegetables, ns as to fat",NA,"rice mixed dishes","quantity not specified","129"
"58160710","rice, white, with other vegetables, no added fat",NA,"rice mixed dishes","cup","172"
"58160710","rice, white, with other vegetables, no added fat",NA,"rice mixed dishes","quantity not specified","129"
"58160720","rice, white, with other vegetables, fat added",NA,"rice mixed dishes","cup","172"
"58160720","rice, white, with other vegetables, fat added",NA,"rice mixed dishes","quantity not specified","129"
"58160800","rice, white, with lentils, ns as to fat",NA,"rice mixed dishes","cup","207"
"58160800","rice, white, with lentils, ns as to fat",NA,"rice mixed dishes","quantity not specified","155"
"58160805","rice, white, with lentils, fat added",NA,"rice mixed dishes","cup","207"
"58160805","rice, white, with lentils, fat added",NA,"rice mixed dishes","quantity not specified","155"
"58160810","rice, white, with lentils, no added fat",NA,"rice mixed dishes","cup","198"
"58160810","rice, white, with lentils, no added fat",NA,"rice mixed dishes","quantity not specified","148"
"58161200","rice, cooked with coconut milk",NA,"rice mixed dishes","cup","200"
"58161200","rice, cooked with coconut milk",NA,"rice mixed dishes","quantity not specified","150"
"58161320","beans and brown rice",NA,"bean, pea, legume dishes","cup","170"
"58161320","beans and brown rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58161321","kidney beans and brown rice",NA,"bean, pea, legume dishes","cup","170"
"58161321","kidney beans and brown rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58161322","black beans and brown rice",NA,"bean, pea, legume dishes","cup","170"
"58161322","black beans and brown rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58161323","pinto beans and brown rice",NA,"bean, pea, legume dishes","cup","170"
"58161323","pinto beans and brown rice",NA,"bean, pea, legume dishes","quantity not specified","170"
"58161420","rice, brown, with corn, ns as to fat",NA,"rice mixed dishes","cup","191"
"58161420","rice, brown, with corn, ns as to fat",NA,"rice mixed dishes","quantity not specified","143"
"58161422","rice, brown, with corn, no added fat",NA,"rice mixed dishes","cup","188"
"58161422","rice, brown, with corn, no added fat",NA,"rice mixed dishes","quantity not specified","141"
"58161424","rice, brown, with corn, fat added",NA,"rice mixed dishes","cup","191"
"58161424","rice, brown, with corn, fat added",NA,"rice mixed dishes","quantity not specified","143"
"58161430","rice, brown, with peas, ns as to fat",NA,"rice mixed dishes","cup","190"
"58161430","rice, brown, with peas, ns as to fat",NA,"rice mixed dishes","quantity not specified","142"
"58161432","rice, brown, with peas, no added fat",NA,"rice mixed dishes","cup","187"
"58161432","rice, brown, with peas, no added fat",NA,"rice mixed dishes","quantity not specified","140"
"58161434","rice, brown, with peas, fat added",NA,"rice mixed dishes","cup","190"
"58161434","rice, brown, with peas, fat added",NA,"rice mixed dishes","quantity not specified","142"
"58161435","rice, brown, with carrots, ns as to fat",NA,"rice mixed dishes","cup","189"
"58161435","rice, brown, with carrots, ns as to fat",NA,"rice mixed dishes","quantity not specified","142"
"58161437","rice, brown, with carrots, no added fat",NA,"rice mixed dishes","cup","186"
"58161437","rice, brown, with carrots, no added fat",NA,"rice mixed dishes","quantity not specified","140"
"58161439","rice, brown, with carrots, fat added",NA,"rice mixed dishes","cup","189"
"58161439","rice, brown, with carrots, fat added",NA,"rice mixed dishes","quantity not specified","142"
"58161440","rice, brown, with peas and carrots, ns as to fat",NA,"rice mixed dishes","cup","190"
"58161440","rice, brown, with peas and carrots, ns as to fat",NA,"rice mixed dishes","quantity not specified","142"
"58161442","rice, brown, with peas and carrots, no added fat",NA,"rice mixed dishes","cup","187"
"58161442","rice, brown, with peas and carrots, no added fat",NA,"rice mixed dishes","quantity not specified","140"
"58161444","rice, brown, with peas and carrots, fat added",NA,"rice mixed dishes","cup","190"
"58161444","rice, brown, with peas and carrots, fat added",NA,"rice mixed dishes","quantity not specified","142"
"58161460","rice, brown, with tomatoes and/or tomato based sauce, ns as to fat",NA,"rice mixed dishes","cup","243"
"58161460","rice, brown, with tomatoes and/or tomato based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","182"
"58161462","rice, brown, with tomatoes and/or tomato based sauce, no added fat",NA,"rice mixed dishes","cup","243"
"58161462","rice, brown, with tomatoes and/or tomato based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","182"
"58161464","rice, brown, with tomatoes and/or tomato based sauce, fat added",NA,"rice mixed dishes","cup","243"
"58161464","rice, brown, with tomatoes and/or tomato based sauce, fat added",NA,"rice mixed dishes","quantity not specified","182"
"58161470","rice, brown, with dark green vegetables, ns as to fat",NA,"rice mixed dishes","cup","189"
"58161470","rice, brown, with dark green vegetables, ns as to fat",NA,"rice mixed dishes","quantity not specified","142"
"58161472","rice, brown, with dark green vegetables, no added fat",NA,"rice mixed dishes","cup","186"
"58161472","rice, brown, with dark green vegetables, no added fat",NA,"rice mixed dishes","quantity not specified","140"
"58161474","rice, brown, with dark green vegetables, fat added",NA,"rice mixed dishes","cup","189"
"58161474","rice, brown, with dark green vegetables, fat added",NA,"rice mixed dishes","quantity not specified","142"
"58161480","rice, brown, with carrots and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","229"
"58161480","rice, brown, with carrots and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","172"
"58161482","rice, brown, with carrots and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","225"
"58161482","rice, brown, with carrots and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","169"
"58161484","rice, brown, with carrots and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","229"
"58161484","rice, brown, with carrots and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","172"
"58161490","rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","229"
"58161490","rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","172"
"58161492","rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","229"
"58161492","rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","172"
"58161494","rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","229"
"58161494","rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","172"
"58161500","rice, brown, with carrots and dark green vegetables, ns as to fat",NA,"rice mixed dishes","cup","189"
"58161500","rice, brown, with carrots and dark green vegetables, ns as to fat",NA,"rice mixed dishes","quantity not specified","142"
"58161502","rice, brown, with carrots and dark green vegetables, no added fat",NA,"rice mixed dishes","cup","186"
"58161502","rice, brown, with carrots and dark green vegetables, no added fat",NA,"rice mixed dishes","quantity not specified","140"
"58161504","rice, brown, with carrots and dark green vegetables, fat added",NA,"rice mixed dishes","cup","189"
"58161504","rice, brown, with carrots and dark green vegetables, fat added",NA,"rice mixed dishes","quantity not specified","142"
"58161510","grape leaves stuffed with rice",NA,"rice mixed dishes","roll","56"
"58161510","grape leaves stuffed with rice",NA,"rice mixed dishes","quantity not specified","56"
"58161520","rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","cup","224"
"58161520","rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","168"
"58161522","rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","cup","220"
"58161522","rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","165"
"58161524","rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","cup","186"
"58161524","rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",NA,"rice mixed dishes","quantity not specified","140"
"58161530","rice, brown, with other vegetables, ns as to fat",NA,"rice mixed dishes","cup","190"
"58161530","rice, brown, with other vegetables, ns as to fat",NA,"rice mixed dishes","quantity not specified","142"
"58161532","rice, brown, with other vegetables, no added fat",NA,"rice mixed dishes","cup","186"
"58161532","rice, brown, with other vegetables, no added fat",NA,"rice mixed dishes","quantity not specified","140"
"58161534","rice, brown, with other vegetables, fat added",NA,"rice mixed dishes","cup","190"
"58161534","rice, brown, with other vegetables, fat added",NA,"rice mixed dishes","quantity not specified","142"
"58161710","rice croquette",NA,"rice mixed dishes","croquette (1-1/2"" dia, 2"" high)","62"
"58161710","rice croquette",NA,"rice mixed dishes","quantity not specified","62"
"58162090","stuffed pepper, with meat",NA,"vegetable dishes","1/2 pepper with filling","149"
"58162090","stuffed pepper, with meat",NA,"vegetable dishes","cup","198"
"58162090","stuffed pepper, with meat",NA,"vegetable dishes","quantity not specified","99"
"58162110","stuffed pepper, with rice and meat",NA,"vegetable dishes","1/2 pepper with filling","149"
"58162110","stuffed pepper, with rice and meat",NA,"vegetable dishes","cup","198"
"58162110","stuffed pepper, with rice and meat",NA,"vegetable dishes","quantity not specified","99"
"58162120","stuffed pepper, with rice, meatless",NA,"vegetable dishes","1/2 pepper with filling","149"
"58162120","stuffed pepper, with rice, meatless",NA,"vegetable dishes","cup","198"
"58162120","stuffed pepper, with rice, meatless",NA,"vegetable dishes","quantity not specified","99"
"58162130","stuffed tomato, with rice and meat",NA,"vegetable dishes","tomato with filling","149"
"58162130","stuffed tomato, with rice and meat",NA,"vegetable dishes","cup","198"
"58162130","stuffed tomato, with rice and meat",NA,"vegetable dishes","quantity not specified","99"
"58162140","stuffed tomato, with rice, meatless",NA,"vegetable dishes","tomato with filling","149"
"58162140","stuffed tomato, with rice, meatless",NA,"vegetable dishes","cup","198"
"58162140","stuffed tomato, with rice, meatless",NA,"vegetable dishes","quantity not specified","99"
"58162310","rice pilaf",NA,"rice mixed dishes","cup","206"
"58162310","rice pilaf",NA,"rice mixed dishes","quantity not specified","155"
"58163130","dirty rice",NA,"rice mixed dishes","cup","198"
"58163130","dirty rice",NA,"rice mixed dishes","quantity not specified","148"
"58163310","flavored rice mixture",NA,"rice mixed dishes","cup","218"
"58163310","flavored rice mixture",NA,"rice mixed dishes","package (6 oz) yields","486"
"58163310","flavored rice mixture",NA,"rice mixed dishes","quantity not specified","164"
"58163330","flavored rice mixture with cheese",NA,"rice mixed dishes","cup","230"
"58163330","flavored rice mixture with cheese",NA,"rice mixed dishes","package (5.1 oz) yields","434"
"58163330","flavored rice mixture with cheese",NA,"rice mixed dishes","quantity not specified","173"
"58163360","flavored rice, brown and wild",NA,"rice mixed dishes","cup","217"
"58163360","flavored rice, brown and wild",NA,"rice mixed dishes","quantity not specified","163"
"58163380","flavored rice and pasta mixture",NA,"rice mixed dishes","cup, beef flavor","184"
"58163380","flavored rice and pasta mixture",NA,"rice mixed dishes","cup, chicken flavor","208"
"58163380","flavored rice and pasta mixture",NA,"rice mixed dishes","cup, nfs","196"
"58163380","flavored rice and pasta mixture",NA,"rice mixed dishes","quantity not specified","147"
"58163400","flavored rice and pasta mixture, reduced sodium",NA,"rice mixed dishes","cup","196"
"58163400","flavored rice and pasta mixture, reduced sodium",NA,"rice mixed dishes","quantity not specified","147"
"58163405","spanish rice, from restaurant",NA,"rice mixed dishes","cup","243"
"58163405","spanish rice, from restaurant",NA,"rice mixed dishes","quantity not specified","182"
"58163410","spanish rice, fat added",NA,"rice mixed dishes","cup","243"
"58163410","spanish rice, fat added",NA,"rice mixed dishes","quantity not specified","182"
"58163420","spanish rice, no added fat",NA,"rice mixed dishes","cup","243"
"58163420","spanish rice, no added fat",NA,"rice mixed dishes","quantity not specified","182"
"58163430","spanish rice, ns as to fat",NA,"rice mixed dishes","cup","243"
"58163430","spanish rice, ns as to fat",NA,"rice mixed dishes","quantity not specified","182"
"58163450","spanish rice with ground beef",NA,"rice mixed dishes","cup","230"
"58163450","spanish rice with ground beef",NA,"rice mixed dishes","quantity not specified","173"
"58163510","rice dressing",NA,"rice mixed dishes","cup","167"
"58163510","rice dressing",NA,"rice mixed dishes","quantity not specified","125"
"58164110","rice with raisins",NA,"rice mixed dishes","cup","185"
"58164110","rice with raisins",NA,"rice mixed dishes","quantity not specified","139"
"58164210","rice dessert or salad with fruit",NA,"rice mixed dishes","cup","155"
"58164210","rice dessert or salad with fruit",NA,"rice mixed dishes","quantity not specified","116"
"58164500","rice, white, with cheese and/or cream based sauce, ns as to fat",NA,"rice mixed dishes","cup","204"
"58164500","rice, white, with cheese and/or cream based sauce, ns as to fat",NA,"rice mixed dishes","quantity not specified","153"
"58164510","rice, white, with cheese and/or cream based sauce, no added fat",NA,"rice mixed dishes","cup","204"
"58164510","rice, white, with cheese and/or cream based sauce, no added fat",NA,"rice mixed dishes","quantity not specified","153"
